"","lambda","q","n","W","p_val"
"186",0,100,35,0.999699860997231,0.706245098329625
"187",0,100,36,0.999578597338054,0.363941572442544
"188",0,100,37,0.999538869010011,0.279497257005965
"189",0,100,38,0.999737278638559,0.813755408052611
"190",0,100,39,0.999597993876423,0.411261049272637
"191",0,100,40,0.999373945485488,0.0827823866919595
"192",0,100,41,0.999640363089151,0.527076915532395
"193",0,100,42,0.99968173711454,0.651216037494556
"194",0,100,43,0.999653379095825,0.565389557554818
"195",0,100,44,0.999637260956841,0.518101071569948
"196",0,100,45,0.999697352775897,0.698681451018064
"197",0,100,46,0.999627612322485,0.490628552229492
"198",0,100,47,0.999677581391197,0.638542688276148
"199",0,100,48,0.999545752226508,0.292919942439906
"200",0,100,49,0.999316819717829,0.0530778427991795
"201",0,100,50,0.999655449663174,0.571568587492977
"202",0.1,0.5,1,0.00981702576573018,1.28067724440028e-95
"203",0.1,0.5,2,0.0152339623130895,1.72656692268802e-95
"204",0.1,0.5,3,0.0364853648840713,5.65306944110463e-95
"205",0.1,0.5,4,0.00556744433634704,1.01411996621897e-95
"206",0.1,0.5,5,0.0575803502252703,1.87717016120248e-94
"207",0.1,0.5,6,0.075880115942722,5.4197114518129e-94
"208",0.1,0.5,7,0.043395166438384,8.3542226969985e-95
"209",0.1,0.5,8,0.0861395346878677,9.89975943341539e-94
"210",0.1,0.5,9,0.0557241982564924,1.68746532452125e-94
"211",0.1,0.5,10,0.00367611405416257,9.14331626308835e-96
"212",0.1,0.5,11,0.00746941309077387,1.12565015306502e-95
"213",0.1,0.5,12,0.0798025269789915,6.81882615266674e-94
"214",0.1,0.5,13,0.0566200372691237,1.77646128101176e-94
"215",0.1,0.5,14,0.145115412056901,3.55951676089735e-92
"216",0.1,0.5,15,0.0119630449256684,1.4413375194129e-95
"217",0.1,0.5,16,0.0706935311052486,4.00557505085022e-94
"218",0.1,0.5,17,0.0475173888740202,1.05586554455043e-94
"219",0.1,0.5,18,0.0837967280970142,8.62284237967092e-94
"220",0.1,0.5,19,0.056188020901104,1.73296279068465e-94
"221",0.1,0.5,20,0.055852440887738,1.69992217797738e-94
"222",0.1,0.5,21,0.0298067705207873,3.88458892376812e-95
"223",0.1,0.5,22,0.016056349960778,1.80690504302242e-95
"224",0.1,0.5,23,0.0153653505167662,1.73915423987792e-95
"225",0.1,0.5,24,0.00644592314348325,1.06416636635781e-95
"226",0.1,0.5,25,0.0245789922153544,2.90057427124592e-95
"227",0.1,0.5,26,0.106780519942003,3.38763889043554e-93
"228",0.1,0.5,27,0.11349098013403,5.08056299232405e-93
"229",0.1,0.5,28,0.00718512097412638,1.10821850857814e-95
"230",0.1,0.5,29,0.00577892540588065,1.02594502828287e-95
"231",0.1,0.5,30,0.026540678087674,3.23606997376437e-95
"232",0.1,0.5,31,0.0976391079151504,1.95868904558777e-93
"233",0.1,0.5,32,0.0686362093957296,3.55431406544994e-94
"234",0.1,0.5,33,0.0133052568156447,1.55208929031972e-95
"235",0.1,0.5,34,0.00308701762488695,8.85334185232796e-96
"236",0.1,0.5,35,0.00399137378259673,9.30244387219036e-96
"237",0.1,0.5,36,0.0479366028160203,1.08136645860842e-94
"238",0.1,0.5,37,0.0234836833332356,2.72885032370176e-95
"239",0.1,0.5,38,0.0805821875301079,7.13802234761723e-94
"240",0.1,0.5,39,0.125866176025668,1.08039300011887e-92
"241",0.1,0.5,40,0.080679573748917,7.17894545565502e-94
"242",0.1,0.5,41,0.0688767455885759,3.60428970181345e-94
"243",0.1,0.5,42,0.029720005468801,3.86575828433378e-95
"244",0.1,0.5,43,0.0504104994335305,1.24513550350509e-94
"245",0.1,0.5,44,0.0198121778391607,2.22497794055965e-95
"246",0.1,0.5,45,0.017800865180322,1.99013477810008e-95
"247",0.1,0.5,46,0.0265320072143561,3.23450341857422e-95
"248",0.1,0.5,47,0.00550453754993541,1.01062929664089e-95
"249",0.1,0.5,48,0.00644745602931474,1.06425585249613e-95
"250",0.1,0.5,49,0.0209110031130552,2.36498302299475e-95
"251",0.1,0.5,50,0.087505453537388,1.07313199368348e-93
"252",0.1,2,1,0.951849340262595,1.04495954750942e-37
"253",0.1,2,2,0.973079368044408,1.08780460427415e-29
"254",0.1,2,3,0.971505693597172,1.9835158791362e-30
"255",0.1,2,4,0.98279070148609,3.3356708720189e-24
"256",0.1,2,5,0.987099914170284,5.53662103318057e-21
"257",0.1,2,6,0.989924028495862,2.03290043108368e-18
"258",0.1,2,7,0.990751592638893,1.43099817165235e-17
"259",0.1,2,8,0.990872210253557,1.92108693605415e-17
"260",0.1,2,9,0.995680880726007,5.43774521284755e-11
"261",0.1,2,10,0.99424607100665,2.86286115049211e-13
"262",0.1,2,11,0.943952662177795,5.74979087786388e-40
"263",0.1,2,12,0.992334522752637,8.63686624773654e-16
"264",0.1,2,13,0.989091995176392,3.19257206644425e-19
"265",0.1,2,14,0.991610729697063,1.24009444167794e-16
"266",0.1,2,15,0.994069029665363,1.59202898662797e-13
"267",0.1,2,16,0.991767803359741,1.87073609462011e-16
"268",0.1,2,17,0.989981904459447,2.32146770667599e-18
"269",0.1,2,18,0.995071482465664,5.21039970522345e-12
"270",0.1,2,19,0.995308041853999,1.26597583885959e-11
"271",0.1,2,20,0.997774357095102,1.21085046554293e-06
"272",0.1,2,21,0.994754116732979,1.65007805599376e-12
"273",0.1,2,22,0.99695741084895,1.55614702392492e-08
"274",0.1,2,23,0.998332948798229,3.805284082835e-05
"275",0.1,2,24,0.997841789461337,1.79431901113007e-06
"276",0.1,2,25,0.995371964532656,1.61690181159062e-11
"277",0.1,2,26,0.997830112501974,1.67548223999347e-06
"278",0.1,2,27,0.995233825678953,9.55391336103324e-12
"279",0.1,2,28,0.997630165142415,5.32247143906479e-07
"280",0.1,2,29,0.997901500687463,2.55440893061262e-06
"281",0.1,2,30,0.998140163418615,1.10040328821842e-05
"282",0.1,2,31,0.997905012027669,2.60840116738788e-06
"283",0.1,2,32,0.998530023486932,0.000143791701669307
"284",0.1,2,33,0.998474696819534,9.83651162196088e-05
"285",0.1,2,34,0.997567564872749,3.75407872688018e-07
"286",0.1,2,35,0.9989466997506,0.00296476483018404
"287",0.1,2,36,0.998294913789364,2.9655383019615e-05
"288",0.1,2,37,0.998414510019466,6.54595900842019e-05
"289",0.1,2,38,0.996712881988313,4.79485252407646e-09
"290",0.1,2,39,0.99903597917399,0.00588016612124784
"291",0.1,2,40,0.997679589314166,7.034511182083e-07
"292",0.1,2,41,0.998265770694105,2.45359248110958e-05
"293",0.1,2,42,0.998501835082793,0.000118425245579105
"294",0.1,2,43,0.998430382401728,7.28391805424307e-05
"295",0.1,2,44,0.998468540985561,9.43260995553408e-05
"296",0.1,2,45,0.998786370077023,0.000893805907446969
"297",0.1,2,46,0.998894955375616,0.00200428293206865
"298",0.1,2,47,0.997096260715196,3.10858732310141e-08
"299",0.1,2,48,0.999358029185016,0.0731854964668297
"300",0.1,2,49,0.999054119852674,0.00676680821805833
"301",0.1,2,50,0.998952343460775,0.00309487619178016
"302",0.1,10,1,0.997020990095986,2.13157488266151e-08
"303",0.1,10,2,0.997267396092997,7.47985067241054e-08
"304",0.1,10,3,0.999327152940791,0.0575444159182844
"305",0.1,10,4,0.998712125403406,0.000520471145989685
"306",0.1,10,5,0.999422140157835,0.11971573726232
"307",0.1,10,6,0.999054106807397,0.00676612385571153
"308",0.1,10,7,0.999205058055413,0.0220436947029922
"309",0.1,10,8,0.99954675550429,0.294918312659633
"310",0.1,10,9,0.999450030903552,0.147640142920691
"311",0.1,10,10,0.998275858068038,2.6195363656329e-05
"312",0.1,10,11,0.999492951602487,0.202308359765284
"313",0.1,10,12,0.998979129757078,0.00379711422215488
"314",0.1,10,13,0.999592509910878,0.397488270637158
"315",0.1,10,14,0.999528808779571,0.260773183491837
"316",0.1,10,15,0.9989835864122,0.00392892414588128
"317",0.1,10,16,0.99963810078675,0.520524566320386
"318",0.1,10,17,0.999272591783868,0.0375127155567819
"319",0.1,10,18,0.999461522589591,0.160793651112798
"320",0.1,10,19,0.999693602109586,0.687329408755596
"321",0.1,10,20,0.999324998632945,0.0565838680425789
"322",0.1,10,21,0.999706131721537,0.725029547949604
"323",0.1,10,22,0.999681879313372,0.651649715567628
"324",0.1,10,23,0.999291273082132,0.0434444375219968
"325",0.1,10,24,0.999643879668301,0.537328942675034
"326",0.1,10,25,0.999608534486956,0.438573688052068
"327",0.1,10,26,0.999628648075329,0.493543500487355
"328",0.1,10,27,0.999224919233982,0.0257751412655692
"329",0.1,10,28,0.999799235218552,0.944926816401641
"330",0.1,10,29,0.999759948954257,0.870467640497107
"331",0.1,10,30,0.99959497534832,0.403642357663238
"332",0.1,10,31,0.999337494762088,0.0623816027896301
"333",0.1,10,32,0.999237921996471,0.0285542862667069
"334",0.1,10,33,0.999284904010079,0.0413246624614954
"335",0.1,10,34,0.999732868661635,0.801820671387561
"336",0.1,10,35,0.999728095020059,0.788627459069676
"337",0.1,10,36,0.999499783291995,0.212489940371433
"338",0.1,10,37,0.999765514208014,0.883006564261023
"339",0.1,10,38,0.999413498615647,0.112115012698667
"340",0.1,10,39,0.999266280008745,0.0356958259630849
"341",0.1,10,40,0.999686941077362,0.667079669185169
"342",0.1,10,41,0.999653830041552,0.566733542313407
"343",0.1,10,42,0.999819808134976,0.970028081184949
"344",0.1,10,43,0.999427803568607,0.124955305333905
"345",0.1,10,44,0.999645132608909,0.541000493072308
"346",0.1,10,45,0.999719100360976,0.763089143553945
"347",0.1,10,46,0.999694886584322,0.691222115503049
"348",0.1,10,47,0.999733735475827,0.804186480443239
"349",0.1,10,48,0.999522412870405,0.249412361686286
"350",0.1,10,49,0.999307474357526,0.0493320001875735
"351",0.1,10,50,0.999620001040956,0.469478144151441
"352",0.1,100,1,0.997932140301093,3.06759543617371e-06
"353",0.1,100,2,0.999431753373935,0.128734942650885
"354",0.1,100,3,0.998741157988147,0.000642309615515807
"355",0.1,100,4,0.999467841450831,0.168469995602978
"356",0.1,100,5,0.999543590665905,0.288650781635791
"357",0.1,100,6,0.999641192347055,0.52948728981843
"358",0.1,100,7,0.998561509000994,0.000178883588971631
"359",0.1,100,8,0.999737531968472,0.814433135496563
"360",0.1,100,9,0.999612559634084,0.449285196075117
"361",0.1,100,10,0.999676649462592,0.635701713705977
"362",0.1,100,11,0.99959295959976,0.398606129182256
"363",0.1,100,12,0.999504701498034,0.220091094201879
"364",0.1,100,13,0.999330729749464,0.0591744998166474
"365",0.1,100,14,0.99963681030377,0.51680265463845
"366",0.1,100,15,0.999544364782052,0.290173992260625
"367",0.1,100,16,0.999522389963375,0.249372421682725
"368",0.1,100,17,0.998981389626874,0.00386337622517745
"369",0.1,100,18,0.999568570514642,0.341033668101423
"370",0.1,100,19,0.999708399449028,0.731770040925384
"371",0.1,100,20,0.999124858409051,0.0117423517680549
"372",0.1,100,21,0.999707558520724,0.729274143575737
"373",0.1,100,22,0.999737772394604,0.815075527624903
"374",0.1,100,23,0.999541875155257,0.285297822557769
"375",0.1,100,24,0.99967791611611,0.63956324171757
"376",0.1,100,25,0.999663060085878,0.59443738098546
"377",0.1,100,26,0.999594019758794,0.401249709018089
"378",0.1,100,27,0.999663660418893,0.596250529232488
"379",0.1,100,28,0.999722827700416,0.773771355461017
"380",0.1,100,29,0.999695002406706,0.691572882430585
"381",0.1,100,30,0.999008470912911,0.00475604755660434
"382",0.1,100,31,0.999217961326208,0.0244008705337277
"383",0.1,100,32,0.999595201695925,0.404210457202557
"384",0.1,100,33,0.999756834537133,0.86319379911352
"385",0.1,100,34,0.999592496029758,0.39745379723327
"386",0.1,100,35,0.999727624539927,0.787312735291733
"387",0.1,100,36,0.999722654723957,0.77327858666058
"388",0.1,100,37,0.99954673123594,0.294869847623759
"389",0.1,100,38,0.999634713772255,0.510781144858888
"390",0.1,100,39,0.999677334937556,0.637791314681473
"391",0.1,100,40,0.999680070822231,0.646134053142558
"392",0.1,100,41,0.99947298826642,0.174964114919541
"393",0.1,100,42,0.999773673959196,0.900268770941713
"394",0.1,100,43,0.999702712993653,0.714812744604517
"395",0.1,100,44,0.99966969600781,0.614538009073006
"396",0.1,100,45,0.999716279610651,0.754921052205048
"397",0.1,100,46,0.999603163855286,0.424521619119571
"398",0.1,100,47,0.999553756735156,0.309162432909587
"399",0.1,100,48,0.999640409405744,0.527211422645442
"400",0.1,100,49,0.999645532715954,0.542174953355248
"401",0.1,100,50,0.999125221820469,0.0117757970934183
"402",0.5,0.5,1,0.0377828227560973,6.08209364040669e-95
"403",0.5,0.5,2,0.0748983152033545,5.11764508106089e-94
"404",0.5,0.5,3,0.0496843247845242,1.1946069099209e-94
"405",0.5,0.5,4,0.0211054898556226,2.39068037207952e-95
"406",0.5,0.5,5,0.00626009718060483,1.05337474075249e-95
"407",0.5,0.5,6,0.0668817922096414,3.21046870343873e-94
"408",0.5,0.5,7,0.0216867974425952,2.46919216825175e-95
"409",0.5,0.5,8,0.00353680498479225,9.07388364000838e-96
"410",0.5,0.5,9,0.0798040477744655,6.81943444171895e-94
"411",0.5,0.5,10,0.0474951391881551,1.0545292918202e-94
"412",0.5,0.5,11,0.00810073612931927,1.16536341980567e-95
"413",0.5,0.5,12,0.0594828257939756,2.09415967237494e-94
"414",0.5,0.5,13,0.135024319003078,1.89970038958701e-92
"415",0.5,0.5,14,0.0182050517156371,2.0352160083298e-95
"416",0.5,0.5,15,0.0406133144306484,7.13655954756731e-95
"417",0.5,0.5,16,0.167110218598247,1.43102019485832e-91
"418",0.5,0.5,17,0.039407316235709,6.6662604565167e-95
"419",0.5,0.5,18,0.0619217992797836,2.41010270210942e-94
"420",0.5,0.5,19,0.039453853605437,6.68381073136503e-95
"421",0.5,0.5,20,0.00381927317554887,9.21523028299412e-96
"422",0.5,0.5,21,0.110703715186842,4.29201791086239e-93
"423",0.5,0.5,22,0.0278532315751324,3.48232532584724e-95
"424",0.5,0.5,23,0.0646490911117631,2.82123729477946e-94
"425",0.5,0.5,24,0.0238175436737328,2.7800698770144e-95
"426",0.5,0.5,25,0.044751033763889,9.02226120408064e-95
"427",0.5,0.5,26,0.0647824534251871,2.84307935661846e-94
"428",0.5,0.5,27,0.131866046553426,1.56280360247501e-92
"429",0.5,0.5,28,0.0644388560017473,2.78715071272804e-94
"430",0.5,0.5,29,0.00321443537958177,8.91525922410447e-96
"431",0.5,0.5,30,0.0426922183847347,8.02788755292124e-95
"432",0.5,0.5,31,0.076339548595141,5.56722580288961e-94
"433",0.5,0.5,32,0.0585960751502574,1.99001603950635e-94
"434",0.5,0.5,33,0.029219320587785,3.75889191366261e-95
"435",0.5,0.5,34,0.00750211122253852,1.127672853652e-95
"436",0.5,0.5,35,0.0864809137895233,1.01012449349491e-93
"437",0.5,0.5,36,0.0305743971065517,4.05530113860464e-95
"438",0.5,0.5,37,0.016588353327192,1.86088933885988e-95
"439",0.5,0.5,38,0.0905233187012504,1.28294407902392e-93
"440",0.5,0.5,39,0.219168175339021,4.39699801261472e-90
"441",0.5,0.5,40,0.00759046046645151,1.13315661142345e-95
"442",0.5,0.5,41,0.0714710812777255,4.19092282469874e-94
"443",0.5,0.5,42,0.0719322011668477,4.30493533834854e-94
"444",0.5,0.5,43,0.0210865739865549,2.38816863003975e-95
"445",0.5,0.5,44,0.0826855477888437,8.07703183212961e-94
"446",0.5,0.5,45,0.0234684279852759,2.72653294766809e-95
"447",0.5,0.5,46,0.00897573323231227,1.22277106887372e-95
"448",0.5,0.5,47,0.0906086301887187,1.28944661121382e-93
"449",0.5,0.5,48,0.0198994755379936,2.23578621158417e-95
"450",0.5,0.5,49,0.00982422114917914,1.28118433883619e-95
"451",0.5,0.5,50,0.0356343732469554,5.3884980601855e-95
"452",0.5,2,1,0.847351808844761,1.35809304378414e-56
"453",0.5,2,2,0.934270378814655,2.06547308003878e-42
"454",0.5,2,3,0.950571377525364,4.3078207466674e-38
"455",0.5,2,4,0.947046563353477,4.09753280349294e-39
"456",0.5,2,5,0.95050108863529,4.10508711960459e-38
"457",0.5,2,6,0.942957725634342,3.11473319729802e-40
"458",0.5,2,7,0.959215046264082,2.57507089481776e-35
"459",0.5,2,8,0.971143299062646,1.35429605696495e-30
"460",0.5,2,9,0.972036308674115,3.49180262037506e-30
"461",0.5,2,10,0.974346062315906,4.5297123415889e-29
"462",0.5,2,11,0.968674491932115,1.10589786631016e-31
"463",0.5,2,12,0.97688321570034,9.35731015981807e-28
"464",0.5,2,13,0.982145756858894,1.24289110321136e-24
"465",0.5,2,14,0.973984981677859,2.99997773001691e-29
"466",0.5,2,15,0.965025047748181,3.56216300844576e-33
"467",0.5,2,16,0.978809944963207,1.11039362188054e-26
"468",0.5,2,17,0.980047371819962,5.95859177701616e-26
"469",0.5,2,18,0.972897162508112,8.89802724890359e-30
"470",0.5,2,19,0.981095973687163,2.63434169769783e-25
"471",0.5,2,20,0.985613875116563,3.58120490683051e-22
"472",0.5,2,21,0.972890823993742,8.83621757671478e-30
"473",0.5,2,22,0.972653474063316,6.81234729302242e-30
"474",0.5,2,23,0.980372656501599,9.388658460888e-26
"475",0.5,2,24,0.957856859170853,8.81773415392696e-36
"476",0.5,2,25,0.9876428656184,1.59437274370714e-20
"477",0.5,2,26,0.988334730524297,6.44925572659876e-20
"478",0.5,2,27,0.988843307831613,1.87209077586689e-19
"479",0.5,2,28,0.988307823968986,6.1014025295189e-20
"480",0.5,2,29,0.994917766570842,2.96850274438754e-12
"481",0.5,2,30,0.981917729361521,8.82288332531522e-25
"482",0.5,2,31,0.984587512406169,6.08451920914445e-23
"483",0.5,2,32,0.988253495190807,5.45668950516795e-20
"484",0.5,2,33,0.992995305154734,5.68260847431101e-15
"485",0.5,2,34,0.991445566967298,8.09409099911543e-17
