"","lambda","q","n","W","p_val","skewness","kurt","bias"
"95",0,10,195,0.999512020974485,0.23183381337492,-0.0559959615142929,2.9549496382399,0.000778199267449118
"96",0,100,1,0.999486739455024,0.193421834463833,0.0728922075485583,3.04595702720419,0.00663824895398144
"97",0,100,2,0.999500129747174,0.21301788808373,0.0568716315043745,2.92433842510256,-0.0170849762864081
"98",0,100,3,0.999615838670638,0.458121907502745,0.0589415667004954,3.00646915233338,0.00146639979552613
"99",0,100,4,0.999611600295615,0.446718521524336,-0.00976272913936103,3.01266543557924,-0.00662051051157665
"100",0,100,5,0.999693838838962,0.688047196269542,-0.0181045873148706,3.00685147866552,-0.00117441678433549
"101",0,100,6,0.99958482347673,0.378703947374393,-0.00680425398239948,3.06128696939915,0.00883947179989865
"102",0,100,7,0.999717342667918,0.758007433597698,0.00301957196954712,3.07908329021124,0.00225035607007329
"103",0,100,8,0.999495258930522,0.205698646573776,-0.00824249822807602,2.84926922724083,-0.00342577598641521
"104",0,100,9,0.999550714416872,0.302908460240304,0.0445313630860315,3.03285592694128,0.000292311432857632
"105",0,100,10,0.999634493131799,0.510149281765344,-0.0419938924838895,3.07369575529115,0.00286995395250148
"106",0,100,11,0.999580692287571,0.368863067653379,-0.0051065270303689,3.04428174337628,0.00251448511517598
"107",0,100,12,0.999842630702252,0.987342073490327,-0.0120326823999276,2.99086402815217,0.00555060532331894
"108",0,100,13,0.999469674689795,0.170757932145405,0.0212897415868755,2.96469112921309,-0.00370635830186238
"109",0,100,14,0.999684517851246,0.659695291232393,-0.00672986805733958,2.97473619814967,0.00290276818137918
"110",0,100,15,0.999498986876009,0.211280598972643,0.05131299514225,2.97944369026528,0.00204217645137746
"111",0,100,16,0.999520594534687,0.24625847505769,0.0629443696672636,3.0386947555201,0.00462501208369617
"112",0,100,17,0.99979547421019,0.939289472414511,-0.0031468962550498,3.00391934167276,0.00359627542356243
"113",0,100,18,0.999786665296311,0.924810290717226,0.028131607459014,3.00233623118376,-0.000940785876528823
"114",0,100,19,0.99937949888039,0.0864069165297682,0.0429651537240408,2.91421398221538,7.09520675092926e-05
"115",0,100,20,0.999070333480356,0.00767438845664711,-0.0388404936162977,2.78370590115447,-0.00726916527519272
"116",0,100,21,0.999733456333285,0.803425651543939,0.0171775393837566,2.95080378652256,0.00288787702395415
"117",0,100,22,0.999741411272899,0.824698987570993,0.00167852308096192,2.95080237685479,0.000939926164656154
"118",0,100,23,0.999477754911242,0.181177051743354,-0.0380460848209554,3.02638685673748,-0.00209337167413207
"119",0,100,24,0.999708306656714,0.731494847774596,0.0358327109240253,3.00445406175952,0.000384181187015047
"120",0,100,25,0.999594436920107,0.402293073541478,0.0318128525262944,2.90925853278334,-0.00418705044823524
"121",0,100,26,0.999765691130608,0.883395242236272,-0.0154251511010966,2.96556802177322,-0.00442945634760708
"122",0,100,27,0.99952980614447,0.262582560217862,-0.00647359806537621,3.12665972844147,0.00233804445057875
"123",0,100,28,0.999587068328204,0.384126515550324,-0.00723261774728289,3.11225571757016,-0.000419923619626091
"124",0,100,29,0.99984184492246,0.986908265420998,-0.0167325688125074,2.98157924072205,-0.000289788677288046
"125",0,100,30,0.999637863291056,0.519838728900981,0.0360060786842522,3.00242715328373,0.000961704895826615
"126",0,100,35,0.999696287506757,0.6954619184446,-0.0120406898023862,2.95595103094605,0.000270238050460877
"127",0,100,45,0.999800254551608,0.94639832089249,0.00599798932817009,2.9482769557454,0.000806066003770207
"128",0,100,55,0.999617070205967,0.461465918509618,0.0395675379956818,3.03300784067084,0.00166531099672518
"129",0,100,65,0.999456882574387,0.155359604346308,-0.0437176249963093,2.87788099820182,-0.0019926382561992
"130",0,100,75,0.999593630423551,0.400277540983459,0.0265845946823643,2.96334111770366,0.00150067740707333
"131",0,100,85,0.999580837319808,0.369205499913244,0.0175364782914045,3.12572148193638,0.000281053061824728
"132",0,100,95,0.999654061015379,0.567422309627359,-0.032332693374903,3.01811172859749,0.00171677399290877
"133",0,100,105,0.99982331389657,0.973367041336988,0.0275055699005916,2.99374053332835,-0.000479344181700627
"134",0,100,115,0.999686239510933,0.664942408639999,-0.0156478973158929,2.88473045704979,0.000654139340358539
"135",0,100,125,0.999798807078518,0.944301586418718,-0.0152693832211448,3.00249044633829,-0.00100663120457126
"136",0,100,135,0.99966826220254,0.610185022341416,-0.0324067423839915,3.11248581306473,-0.000490106281700889
"137",0,100,145,0.999778760952114,0.910320691407047,0.00118378331656031,2.96081135334934,-0.00139884115959876
"138",0,100,155,0.999561239211764,0.32496602474446,-0.047577853389801,3.00198308305643,-0.00127563776860137
"139",0,100,165,0.999609218997386,0.440384535169567,-0.0528499490988219,2.96261320451948,0.000443217741929626
"140",0,100,175,0.999657887935347,0.57886993988976,-0.00828491876108634,2.90416109198043,-0.00113157591096203
"141",0,100,185,0.999599376526578,0.41478142320738,0.0286375916719666,3.08788926977485,6.23361268037623e-05
"142",0,100,195,0.99966933478198,0.613440897399431,-0.0365488582729557,2.96716348021408,-0.00132105395508444
"143",0.1,2,1,0.953348137513078,3.02661817750198e-37,0.692389711720555,9.22617778359748,-0.00142355995489801
"144",0.1,2,2,0.979083157494475,1.59865252387228e-26,0.247871817216833,5.63248943571361,-0.0104833213913507
"145",0.1,2,3,0.965555949777991,5.76715405030972e-33,0.705517228800725,9.50303270894836,0.00283669305158195
"146",0.1,2,4,0.979146099149565,1.73955782758409e-26,0.266324618546583,5.8657606052696,0.00531962236717278
"147",0.1,2,5,0.99099212918266,2.58158534552679e-17,0.202729441653887,4.30926933924152,-0.010544225810867
"148",0.1,2,6,0.972553351537883,6.10757624680367e-30,0.651725019980206,9.52828127910921,0.00856063732568121
"149",0.1,2,7,0.994436334419529,5.45027282843288e-13,0.139720774126128,3.93086115574002,-0.00948031600223651
"150",0.1,2,8,0.99326760059538,1.27889816267058e-14,0.167489568772662,4.00536519440903,-0.000116066333065565
"151",0.1,2,9,0.99029318458033,4.78516933732001e-18,0.28162231406788,4.34426556186584,0.000618746545620447
"152",0.1,2,10,0.991704631052947,1.58460253473084e-16,-0.0401149402308409,4.42415917181313,-0.00261516794779043
"153",0.1,2,11,0.990606136871015,1.00677094438272e-17,0.197627706720959,5.09715097448291,-0.00617401536600032
"154",0.1,2,12,0.988267203097793,5.61243560266611e-20,0.148950885354817,5.33347187352694,-0.00189815126360397
"155",0.1,2,13,0.996785714102245,6.77263439956804e-09,0.137947034952098,3.61592367025672,-0.00445135347422404
"156",0.1,2,14,0.998787152317162,0.000898957668708528,0.078423660869843,3.30736396459877,-0.00119754226106323
"157",0.1,2,15,0.992447088788236,1.18105404384727e-15,0.230556753481281,4.09111318655116,-0.0020671156643377
"158",0.1,2,16,0.996569242827916,2.45708709106732e-09,0.148442498454634,3.60400060800537,-0.00169997181163531
"159",0.1,2,17,0.997107789393761,3.29506811303747e-08,0.148200980946787,3.49322354374378,-0.00154173386750853
"160",0.1,2,18,0.996911928636804,1.24526447505047e-08,0.173555424191265,3.45189301435602,0.00314785026902509
"161",0.1,2,19,0.998943463846916,0.0028927083430689,0.0489139199626498,3.27927596696293,0.000132328903552573
"162",0.1,2,20,0.992200412516093,5.97297027441517e-16,0.26608645204841,4.37421696889959,0.00030426039019959
"163",0.1,2,21,0.995275370222082,1.1180553325696e-11,0.0511836653541235,3.89710003318704,-0.00184804702756463
"164",0.1,2,22,0.998323504972367,3.5760889077423e-05,0.0885387733839648,3.38681281808596,-0.00583844731716791
"165",0.1,2,23,0.99824618610937,2.16180661301598e-05,0.0666467477713615,3.37988227690723,-0.00380778987844153
"166",0.1,2,24,0.993578776992276,3.32087422146558e-14,0.215119796827324,4.16960804214721,0.00303105967837231
"167",0.1,2,25,0.997795232248362,1.36677966443839e-06,0.126069643707158,3.41967378405422,-0.0011077479605443
"168",0.1,2,26,0.991060957078616,3.06256203366557e-17,-0.00367612171098818,4.68658387465229,-0.00164576447138115
"169",0.1,2,27,0.997718008887524,8.75531635723779e-07,0.127348478764205,3.40313601188804,-0.00206205303277155
"170",0.1,2,28,0.997082017299853,2.89320489694501e-08,0.14562381015927,3.5336011451201,0.000149751122107606
"171",0.1,2,29,0.989627279305159,1.03790733605427e-18,0.0870065582039079,4.84921996223453,-0.00647202839679646
"172",0.1,2,30,0.981248960628846,3.28917209563661e-25,0.503225723568445,8.58804779923659,-2.41313443104551e-05
"173",0.1,2,35,0.997871411922855,2.13668916646499e-06,0.172300812586883,3.22523962737942,-0.00197818697949823
"174",0.1,2,45,0.996015637529763,2.15214792373286e-10,0.129165238496563,3.81089253705861,0.000356537543556907
"175",0.1,2,55,0.998327006007012,3.65933999553027e-05,0.0948415370297307,3.35507407847742,-0.000934505783077884
"176",0.1,2,65,0.999595738240586,0.405559182579544,0.0452142953802141,3.10811253146144,0.00129018340601821
"177",0.1,2,75,0.999289346169173,0.0427920316156306,0.0727645405466977,3.12538362537023,-0.000747701375334458
"178",0.1,2,85,0.999016722238541,0.00506803881877745,-0.0077392776700124,3.25885690520863,-0.000234230058204143
"179",0.1,2,95,0.999235042762557,0.0279141484208758,-0.0209352239912776,3.23265578391714,-0.00212259734460461
"180",0.1,2,105,0.998748469700938,0.000677405325757411,0.0971699924601214,3.18984629727735,0.00149466650175068
"181",0.1,2,115,0.998558560822219,0.00017525056872862,0.11389865746745,3.18908865336414,-0.00174901268663694
"182",0.1,2,125,0.999094397544313,0.00925559718458513,0.0635845601319927,3.23025844036625,0.0016990116801551
"183",0.1,2,135,0.999096066938673,0.00937688302101479,0.0201885770253522,3.26816222453958,-0.000289896836879879
"184",0.1,2,145,0.999673072863347,0.624806685906465,0.00369396749637115,3.07292829122151,0.000326043627573604
"185",0.1,2,155,0.999139231959259,0.0131415431661954,0.0769718575372029,3.19996347486819,-0.00126961313162924
"186",0.1,2,165,0.999067707417266,0.00751937513566949,0.070018092296363,3.16865851681061,-0.00105025015327478
"187",0.1,2,175,0.998892719634042,0.00197084965230364,0.0698813603004295,3.28827714844101,-0.00095756665505476
"188",0.1,2,185,0.998614050475368,0.000258498384764546,0.10997437957199,3.27210124490607,-0.000591616356719706
"189",0.1,2,195,0.997436121829902,1.83015304416602e-07,0.0771559625350914,3.40921757557687,-0.000621207590941696
"190",0.1,10,1,0.99814045480504,1.10242194961119e-05,0.131186236043941,3.25817618530125,-0.0144207468861824
"191",0.1,10,2,0.99674616597712,5.61152788481527e-09,0.218152101548646,3.34286678269312,0.0155441922819246
"192",0.1,10,3,0.998646065848798,0.000324255379386017,0.12382596898828,3.0523066880467,-0.00810940918365904
"193",0.1,10,4,0.999149780413122,0.0142748184640684,0.0896462205387689,3.06591445765279,-0.00494927817246042
"194",0.1,10,5,0.998829578906249,0.00122966441072415,0.106589329255974,3.20410967760495,-0.000140509435093035
"195",0.1,10,6,0.999568536591014,0.340957990076417,0.0564971846376716,2.98117081990512,-0.00191404959450494
"196",0.1,10,7,0.999225884447645,0.0259718062071049,0.0885850406285899,3.11344794453038,0.00751517389815948
"197",0.1,10,8,0.999044788930709,0.0062948965401268,0.11400483067178,3.0999447477526,0.00269335555083377
"198",0.1,10,9,0.999663176553401,0.594789047531638,0.0532413258126912,3.09436784692866,-0.00553249772470006
"199",0.1,10,10,0.99955184246681,0.305215796206631,0.0505557773052503,3.07311077404038,-0.00236221520200316
"200",0.1,10,11,0.999619286907938,0.46751892272324,0.0506292256501362,2.9987562357604,0.000434939735766769
"201",0.1,10,12,0.999604252955427,0.427348661209417,0.0451472501387723,2.97095907186866,-0.00146064364144896
"202",0.1,10,13,0.999382216784632,0.0882356998307501,0.0653361690064791,3.122321361882,0.00197079873475758
"203",0.1,10,14,0.999562828103149,0.328399298169152,0.0251563126688671,2.89229185374042,-0.00619107363378972
"204",0.1,10,15,0.999705493819299,0.723128008644306,-0.00553574155527834,3.06798859342135,-0.000174733164244258
"205",0.1,10,16,0.999635134949205,0.511988281723622,0.0504561915678088,2.9242348431701,-2.49924121119063e-05
"206",0.1,10,17,0.999766562103347,0.885299549601483,0.0172656637757536,2.97031261360439,-0.0053824398813218
"207",0.1,10,18,0.999833802504661,0.981840323685871,0.0120695043387719,3.04469254181221,-0.00306027429855239
"208",0.1,10,19,0.99942513006184,0.122455811858363,0.0713646028157184,3.04624067685864,-0.000274458140078569
"209",0.1,10,20,0.999766367449013,0.884875272880618,-0.00391369867213774,3.0648223770865,0.00595142386697029
"210",0.1,10,21,0.999626320682592,0.487005507792908,0.00590980463139407,3.07186908441822,0.00144174571304004
"211",0.1,10,22,0.999708026525758,0.730663738071815,0.00741634017313681,3.04214565955411,0.00380740052479945
"212",0.1,10,23,0.999364234936621,0.0767924939965368,-0.027997916731541,3.07714663293841,0.00324743826855143
"213",0.1,10,24,0.999786072757288,0.923772693357225,0.00316805330573407,3.05904281651107,-5.99248390523934e-05
"214",0.1,10,25,0.998879579826218,0.00178561546713644,0.0991535357847258,2.85445932297878,-0.00261137548196038
"215",0.1,10,26,0.99905632104347,0.00688330077170725,0.104480231549779,2.93700973710096,0.00102029340763085
"216",0.1,10,27,0.999709101685174,0.733850875157062,0.028944091407527,3.01004631517192,0.00331832172331099
"217",0.1,10,28,0.999522844907048,0.250166643601895,0.074074178295909,3.02903996516552,0.00155095810152769
"218",0.1,10,29,0.999799435766866,0.945218226483428,-0.0129421191407854,2.9961986806878,0.00143572338463376
"219",0.1,10,30,0.999670881677097,0.618141056636385,-0.0182061357824165,3.09205638619175,0.00280563217208169
"220",0.1,10,35,0.999578901155389,0.364652421888235,0.0663268637508221,3.00646747409967,-0.00169646946827361
"221",0.1,10,45,0.9995483044552,0.298024611291173,0.0156507543171592,2.93642286687782,0.00151746337242438
"222",0.1,10,55,0.999747808495982,0.841139082731441,0.0152272797151739,2.9974977908374,0.00129851133374145
"223",0.1,10,65,0.999766452709144,0.88506120303508,-0.00822768789494013,3.0397600964219,-0.00322406365955966
"224",0.1,10,75,0.999631516749253,0.501660860755318,-0.0125102361112487,3.02908858241757,-0.000547965960926808
"225",0.1,10,85,0.999206823198515,0.0223521449089043,-0.0318599174450647,3.2023462484993,0.00195134449901744
"226",0.1,10,95,0.999440905390202,0.137903217959089,-0.000795671364377298,3.15951044977107,-0.000714368343271187
"227",0.1,10,105,0.999742047245023,0.826361280347138,0.0163754678507355,2.98513388259873,-0.000397705960475776
"228",0.1,10,115,0.999780573003079,0.913765249683319,-0.00895283152261804,3.04174905256257,0.000970053038875472
"229",0.1,10,125,0.999764177869787,0.88005073283583,0.0266764789342231,2.95304657366136,0.00142693066999051
"230",0.1,10,135,0.999692305666854,0.683395776775434,-0.00883600027887852,3.0598225094778,-0.00174253305566101
"231",0.1,10,145,0.99930144134115,0.0470530719551111,0.067813177153743,3.03668817309708,-0.00121540596407672
"232",0.1,10,155,0.99951174545282,0.23138233792437,-0.00855465747277383,3.12271499903786,-0.00119603376219833
"233",0.1,10,165,0.999577036885186,0.36030598828691,-0.0342084123234422,2.97235083629155,0.000954378134290383
"234",0.1,10,175,0.99954700259116,0.295412113453448,0.0609911582063827,2.93010612746148,-0.000451692929638888
"235",0.1,10,185,0.999386835774044,0.0914287641516872,0.035543229514601,2.94395834388156,0.000341868668474077
"236",0.1,10,195,0.999804435272683,0.952182378621936,-0.00420782794349528,2.9766198863445,3.1874922190029e-05
"237",0.1,100,1,0.998126743597632,1.0114681432957e-05,0.162722338300654,3.09969238566031,0.000919202658792515
"238",0.1,100,2,0.999048860465385,0.00649654166744873,0.0924872170953289,3.07782851472366,0.00784853416274361
"239",0.1,100,3,0.998128776958715,1.02444905585563e-05,0.174048995235607,3.15168068064587,0.00486753745508408
"240",0.1,100,4,0.99947883620797,0.182613451441465,0.0587556312818432,2.96767558986516,-0.00585991326192237
"241",0.1,100,5,0.999289369575646,0.0427998981448068,0.0908761899983813,3.04689489951573,0.00969043829800149
"242",0.1,100,6,0.999593732922973,0.40053333150114,0.046817297882511,3.03139084864792,0.00840787836285911
"243",0.1,100,7,0.999737822920092,0.815210425013247,0.00661648284238532,2.96162563945933,0.000701963119027654
"244",0.1,100,8,0.999336625655301,0.0619602943386025,0.0564912741657412,2.95284358594118,0.00185922701275082
"245",0.1,100,9,0.999083589483251,0.00850802926994821,0.102158743719902,2.96636179940378,-0.0113723807340144
"246",0.1,100,10,0.999664987935808,0.600264038117807,0.0322469937855518,3.04106512167939,0.000833504556430354
"247",0.1,100,11,0.999479286978601,0.183215236109969,0.0578964811712807,3.0777577486142,-0.00696257477859607
"248",0.1,100,12,0.999344081682909,0.0656665451641991,0.0723301329754726,2.91819832122669,-0.00775672080686452
"249",0.1,100,13,0.998932890196746,0.00266954001548167,0.0723027848887375,2.8191565927398,0.000836699777894294
"250",0.1,100,14,0.999709164174148,0.734035885604227,0.0147422545455105,2.95486875191851,0.000496107655381644
"251",0.1,100,15,0.999615317599438,0.45671113476315,0.0483245947697999,2.96307754464234,-0.00679609822925335
"252",0.1,100,16,0.999414201904221,0.112716270485328,0.0780311078143902,3.07271487035675,0.000728930241586382
"253",0.1,100,17,0.999339329201072,0.0632800396459689,0.0561132686271087,2.90092294033212,0.000961137090533097
"254",0.1,100,18,0.999238501811451,0.0286849586090916,0.0874169048793648,2.98477079059936,-0.00926073778458452
"255",0.1,100,19,0.99956135317957,0.325211382878483,0.0399984421177558,3.122254337695,-0.0015008853877095
"256",0.1,100,20,0.999585792505939,0.381038230696025,0.0394690257142082,3.0010477324281,0.00331895075472149
"257",0.1,100,21,0.999725684775183,0.781866287604913,-0.0219615950617917,2.95262540092399,0.00480146783363925
"258",0.1,100,22,0.999429864873869,0.12691475285501,0.010185622268099,3.13118585550345,-0.000468079841814181
"259",0.1,100,23,0.999549066242257,0.299561693290791,0.0492556375067983,3.08150777634405,0.00411005725635866
"260",0.1,100,24,0.999589892626239,0.391023337240017,0.0669498593953175,3.04361207474501,0.0037433707585886
