lambda,q,n,W,p_val
0.1,100,15,0.99953159463936,0.26585289652453
0.1,100,16,0.999691185757564,0.679994393376395
0.1,100,17,0.999276383503617,0.0386479733823723
0.1,100,18,0.999625519558659,0.484765163335991
0.1,100,19,0.999697731054778,0.699823729818365
0.1,100,20,0.999315337775014,0.0524657596362789
0.1,100,21,0.999548072781939,0.297558383605698
0.1,100,22,0.999777659252256,0.908191247383932
0.1,100,23,0.999691222999882,0.680107552385763
0.1,100,24,0.999135137265369,0.0127265605359324
0.1,100,25,0.999711715949,0.741568474864374
0.1,100,26,0.999778927403997,0.910640113383883
0.1,100,27,0.999637599433052,0.519077221227802
0.1,100,28,0.999513478051654,0.234233824587796
0.1,100,29,0.99953757242651,0.277024763360876
0.1,100,30,0.999403983190175,0.104270954470835
0.5,0.5,1,0.0795136656493294,6.70428120884869e-94
0.5,0.5,2,0.0165101984305098,1.85285713434186e-95
0.5,0.5,3,0.0337905498023889,4.85757940333167e-95
0.5,0.5,4,0.0228374036915033,2.63240815721705e-95
0.5,0.5,5,0.0971638286671375,1.90393701595532e-93
0.5,0.5,6,0.0107421379135083,1.34757678480724e-95
0.5,0.5,7,0.054875582456452,1.60733957497151e-94
0.5,0.5,8,0.0416796020828938,7.58041143500689e-95
0.5,0.5,9,0.0410235657954461,7.30411760439837e-95
0.5,0.5,10,0.0440152347606009,8.65325997340337e-95
0.5,0.5,11,0.0405417587363821,7.10773672172333e-95
0.5,0.5,12,0.0588448388782503,2.01868924030688e-94
0.5,0.5,13,0.0231128853958938,2.67308663669373e-95
0.5,0.5,14,0.0492581435353522,1.16592767110559e-94
0.5,0.5,15,0.0356250092306035,5.3856578785922e-95
0.5,0.5,16,0.10672395916008,3.37612435215679e-93
0.5,0.5,17,0.0295835973218468,3.83634093033672e-95
0.5,0.5,18,0.0116982538662276,1.42045493689192e-95
0.5,0.5,19,0.145833187616688,3.72301865975097e-92
0.5,0.5,20,0.025848665223926,3.11343703602095e-95
0.5,0.5,21,0.00330215291769564,8.95814021478661e-96
0.5,0.5,22,0.0337022975942506,4.83354355913532e-95
0.5,0.5,23,0.00973944372564284,1.2752225884159e-95
0.5,0.5,24,0.00514256840519312,9.9077966270081e-96
0.5,0.5,25,0.0630374050611506,2.57036854758128e-94
0.5,0.5,26,0.0184805208963826,2.06653396697916e-95
0.5,0.5,27,0.083506743906324,8.47688648406699e-94
0.5,0.5,28,0.0737269103912532,4.77952253914216e-94
0.5,0.5,29,0.057175998270649,1.83407664651152e-94
0.5,0.5,30,0.0429574987816406,8.14949120426889e-95
0.5,2,1,0.881417071633895,4.02791272764252e-52
0.5,2,2,0.921321359480648,2.92191824081216e-45
0.5,2,3,0.910268864586861,2.09887679089047e-47
0.5,2,4,0.942427293193136,2.25427338054324e-40
0.5,2,5,0.953501348617524,3.37934633146297e-37
0.5,2,6,0.950004286627399,2.92432001404348e-38
0.5,2,7,0.962110349283015,2.78838496915523e-34
0.5,2,8,0.979859305464256,4.59287713776344e-26
0.5,2,9,0.959761825392828,3.99601077627159e-35
0.5,2,10,0.971014659899953,1.18378968128629e-30
0.5,2,11,0.978860877052871,1.18813349078847e-26
0.5,2,12,0.973651423164154,2.05823018743394e-29
0.5,2,13,0.963501578392718,9.22089860971435e-34
0.5,2,14,0.978523758839608,7.6090893731766e-27
0.5,2,15,0.97411228536911,3.46729702200395e-29
0.5,2,16,0.982080286680865,1.12605391353067e-24
0.5,2,17,0.979191253322322,1.84845152611793e-26
0.5,2,18,0.978781185229409,1.06882340123213e-26
0.5,2,19,0.98153598471183,5.00698418240256e-25
0.5,2,20,0.990334548993794,5.27438166921172e-18
0.5,2,21,0.985933253994622,6.33546432036408e-22
0.5,2,22,0.975847998414553,2.64149311344923e-28
0.5,2,23,0.990128598930946,3.25787158498764e-18
0.5,2,24,0.987634622093171,1.56858377159518e-20
0.5,2,25,0.980561836328587,1.22624833937309e-25
0.5,2,26,0.982603969074585,2.49937241941593e-24
0.5,2,27,0.98905802721768,2.96658594830856e-19
0.5,2,28,0.984198562566018,3.17953580420672e-23
0.5,2,29,0.988358862856234,6.7786098961906e-20
0.5,2,30,0.990827622777627,1.72237655611369e-17
0.5,10,1,0.963614720739062,1.01787738271967e-33
0.5,10,2,0.980765756625059,1.6388701952646e-25
0.5,10,3,0.984726819878704,7.69937192951885e-23
0.5,10,4,0.989266923847479,4.67158511696992e-19
0.5,10,5,0.989952298297689,2.16892533943778e-18
0.5,10,6,0.99550611777405,2.72071023667524e-11
0.5,10,7,0.993510736234856,2.68854803569179e-14
0.5,10,8,0.994729339909692,1.51124668753132e-12
0.5,10,9,0.995079861442181,5.37436063459405e-12
0.5,10,10,0.996669840770035,3.91764019382167e-09
0.5,10,11,0.997216926490706,5.75617119264534e-08
0.5,10,12,0.995310376473116,1.27729243915651e-11
0.5,10,13,0.996310520424915,7.66667889057422e-10
0.5,10,14,0.996756827296719,5.90260799010613e-09
0.5,10,15,0.996821014750907,8.0193901892235e-09
0.5,10,16,0.996735426189914,5.33332127710212e-09
0.5,10,17,0.99804092831366,5.93741315428357e-06
0.5,10,18,0.996835105063676,8.58144193295789e-09
0.5,10,19,0.997677060079603,6.93433401509913e-07
0.5,10,20,0.997448842307967,1.96028055816441e-07
0.5,10,21,0.997839260031531,1.76785505331311e-06
0.5,10,22,0.998605425582521,0.0002432603876818
0.5,10,23,0.998340814230292,4.00777911910336e-05
0.5,10,24,0.997551268256088,3.43051274234906e-07
0.5,10,25,0.997763619743741,1.13795257960499e-06
0.5,10,26,0.99887288997544,0.00169828370606738
0.5,10,27,0.997730034510907,9.37952738183068e-07
0.5,10,28,0.996848590053937,9.15765197551712e-09
0.5,10,29,0.997738101990584,9.82401992350015e-07
0.5,10,30,0.998966410778509,0.00344529800251901
0.5,100,1,0.967943763102827,5.42624629973055e-32
0.5,100,2,0.984051937914235,2.497113867151e-23
0.5,100,3,0.9905213917143,8.2171377697721e-18
0.5,100,4,0.993230217246976,1.14265017358251e-14
0.5,100,5,0.994706656864511,1.39473588824195e-12
0.5,100,6,0.995346713980781,1.46757894307699e-11
0.5,100,7,0.995073157772629,5.24276338192598e-12
0.5,100,8,0.996591033290007,2.71653269300928e-09
0.5,100,9,0.996600961877754,2.84401087960229e-09
0.5,100,10,0.995919568013232,1.44014654160583e-10
0.5,100,11,0.997605701441089,4.64117959552766e-07
0.5,100,12,0.997399692630282,1.50480185720212e-07
0.5,100,13,0.996390475839246,1.09309353657659e-09
0.5,100,14,0.997025374636465,2.17862804959533e-08
0.5,100,15,0.997845418999931,1.8330129563362e-06
0.5,100,16,0.996438940810914,1.3583322052873e-09
0.5,100,17,0.998814725576603,0.0011015595528534
0.5,100,18,0.998959335320381,0.00326422981874565
0.5,100,19,0.997776090340906,1.22306458456961e-06
0.5,100,20,0.998160225590047,1.24877057310697e-05
0.5,100,21,0.998313940711519,3.35852090626878e-05
0.5,100,22,0.998629368090846,0.00028804198229827
0.5,100,23,0.998232983713623,1.98561361350075e-05
0.5,100,24,0.997881657216786,2.27032766843793e-06
0.5,100,25,0.998740367893992,0.000638631285387686
0.5,100,26,0.998657372588796,0.00035142400055623
0.5,100,27,0.998961283785215,0.00331309732287079
0.5,100,28,0.997966770490879,3.77854585332506e-06
0.5,100,29,0.998782394401737,0.000868089167270685
0.5,100,30,0.998665865729792,0.000373372814913436
0.99,0.5,1,0.0857313471951628,9.66419501886866e-94
0.99,0.5,2,0.0445027174729533,8.89597684674476e-95
0.99,0.5,3,0.00435813341089031,9.49111137323004e-96
0.99,0.5,4,0.157503261825603,7.7629699764141e-92
0.99,0.5,5,0.135755113904408,1.98765506477889e-92
0.99,0.5,6,0.00721879990230956,1.11026916059255e-95
0.99,0.5,7,0.0037398573283618,9.17526613550397e-96
0.99,0.5,8,0.108820164988632,3.83066746043679e-93
0.99,0.5,9,0.0874479169016382,1.06948996404411e-93
0.99,0.5,10,0.0255587098886016,3.06346716864616e-95
0.99,0.5,11,0.0260100518552332,3.14160780099782e-95
0.99,0.5,12,0.0452343829580681,9.27332352301176e-95
0.99,0.5,13,0.0566739241831489,1.78196427282797e-94
0.99,0.5,14,0.0615891228706064,2.36430484720085e-94
0.99,0.5,15,0.0207932100005078,2.34955577409349e-95
0.99,0.5,16,0.0261865089663441,3.172705710305e-95
0.99,0.5,17,0.0161217830886349,1.81345802206476e-95
0.99,0.5,18,0.0655206036261623,2.96711930490899e-94
0.99,0.5,19,0.0380964811636945,6.19068592609137e-95
0.99,0.5,20,0.0170780663979195,1.91203034063973e-95
0.99,0.5,21,0.019933386321617,2.23999905601442e-95
0.99,0.5,22,0.0167828123213715,1.88102832768545e-95
0.99,0.5,23,0.0714605020630299,4.18834341348765e-94
0.99,0.5,24,0.0184411300206059,2.06202580662193e-95
0.99,0.5,25,0.0873527866500587,1.06349581357971e-93
0.99,0.5,26,0.0119774519773946,1.44248262977438e-95
0.99,0.5,27,0.0359056581569436,5.47144505307887e-95
0.99,0.5,28,0.0973651845014347,1.92694071016524e-93
0.99,0.5,29,0.0294727963494192,3.81261341718343e-95
0.99,0.5,30,0.0532706047993177,1.46620673350873e-94
0.99,2,1,0.724869079011006,9.14997436834811e-68
0.99,2,2,0.835550642626558,5.99619854043028e-58
0.99,2,3,0.867124808811075,4.10434281820971e-54
0.99,2,4,0.89463326893447,4.29106166456557e-50
0.99,2,5,0.928087385261665,7.98933446858191e-44
0.99,2,6,0.92944654028128,1.60071542897965e-43
0.99,2,7,0.937740694521891,1.43092830623192e-41
0.99,2,8,0.93969860673991,4.43306304069976e-41
0.99,2,9,0.935811360867869,4.8277529939482e-42
0.99,2,10,0.951380179347498,7.5315043684808e-38
0.99,2,11,0.953731742255322,3.99082271209523e-37
0.99,2,12,0.943455114920445,4.22712239262012e-40
0.99,2,13,0.940917190038385,9.0965667128527e-41
0.99,2,14,0.948458693867731,1.03544518083591e-38
0.99,2,15,0.971604201077525,2.20173244661375e-30
0.99,2,16,0.96501834594447,3.54069329800995e-33
0.99,2,17,0.964218889644407,1.73254962724071e-33
0.99,2,18,0.939195319124763,3.30563383494295e-41
0.99,2,19,0.965411008596059,5.05342477731443e-33
0.99,2,20,0.969454043479203,2.39795059056022e-31
0.99,2,21,0.974716850708702,6.94798211726274e-29
0.99,2,22,0.977243331177145,1.46768462022175e-27
0.99,2,23,0.975880014480753,2.74514659546834e-28
0.99,2,24,0.978167623341529,4.77934390122035e-27
0.99,2,25,0.9773095375422,1.59524567626802e-27
0.99,2,26,0.983649607508983,1.29762619113221e-23
0.99,2,27,0.982969591760256,4.40782716703123e-24
0.99,2,28,0.980659247119789,1.4080778498342e-25
0.99,2,29,0.985415191836089,2.52308634296544e-22
0.99,2,30,0.983278829469445,7.17317187616969e-24
0.99,10,1,0.907726295134231,7.23902148573085e-48
0.99,10,2,0.962683955133537,4.54635807423176e-34
0.99,10,3,0.970327776635962,5.81552167578225e-31
0.99,10,4,0.983037849180303,4.9052203917042e-24
0.99,10,5,0.98540307483999,2.47004872257956e-22
0.99,10,6,0.987379382286101,9.50374117062181e-21
0.99,10,7,0.988270048788317,5.64533743387705e-20
0.99,10,8,0.98927304670011,4.7346241061473e-19
0.99,10,9,0.991114883243928,3.50345537013901e-17
0.99,10,10,0.990694327525364,1.24543147636106e-17
0.99,10,11,0.99216091835597,5.36266992341455e-16
0.99,10,12,0.993727114071344,5.29048639040359e-14
0.99,10,13,0.993923024381173,9.8965853722024e-14
0.99,10,14,0.994155310064478,2.11603708046597e-13
0.99,10,15,0.99375559392265,5.79008615654957e-14
0.99,10,16,0.994902087313832,2.80465207184217e-12
0.99,10,17,0.995211670291,8.78858476149427e-12
0.99,10,18,0.996356179972561,9.38290994628316e-10
0.99,10,19,0.99559013459258,3.78745076023936e-11
0.99,10,20,0.995582602534132,3.67620071679021e-11
0.99,10,21,0.997143866026051,3.9572644091021e-08
0.99,10,22,0.995860589066571,1.12855178598361e-10
0.99,10,23,0.995490470143296,2.55922694279154e-11
0.99,10,24,0.996965369390717,1.61833735306556e-08
0.99,10,25,0.996802530439002,7.3393734130271e-09
0.99,10,26,0.995233866624983,9.55538991697403e-12
0.99,10,27,0.996558543509585,2.33923313959759e-09
0.99,10,28,0.998183340457339,1.44575433559138e-05
0.99,10,29,0.996442075671439,1.37763572826302e-09
0.99,10,30,0.997597149630665,4.42492741224196e-07
0.99,100,1,0.918799315980421,9.03221215290727e-46
0.99,100,2,0.96287174562954,5.3423068621684e-34
0.99,100,3,0.976552077837988,6.21494351365119e-28
0.99,100,4,0.98425402051716,3.48527713325577e-23
0.99,100,5,0.988385791248133,7.16664546607957e-20
0.99,100,6,0.990634420333393,1.07769128261851e-17
0.99,100,7,0.992817967710237,3.38862310908927e-15
0.99,100,8,0.991563046198995,1.09573366280388e-16
0.99,100,9,0.992955931669023,5.06256400885696e-15
0.99,100,10,0.992451658972342,1.19623591025799e-15
0.99,100,11,0.992598539613268,1.80850132692291e-15
0.99,100,12,0.995434365359407,2.05728558202388e-11
0.99,100,13,0.993712990253964,5.05945946823207e-14
0.99,100,14,0.994037699079564,1.43670939142307e-13
0.99,100,15,0.995199595328242,8.39846027456743e-12
0.99,100,16,0.993571309395514,3.24453938938088e-14
0.99,100,17,0.9947070212536,1.39653221821163e-12
0.99,100,18,0.997065335984006,2.66049916002668e-08
0.99,100,19,0.995442549719419,2.12363897225057e-11
0.99,100,20,0.995823860780092,9.70606336133104e-11
0.99,100,21,0.996839739815003,8.77512116028028e-09
0.99,100,22,0.997575920465971,3.93210352875246e-07
0.99,100,23,0.997780122406617,1.25197559446289e-06
0.99,100,24,0.996205405154584,4.84210923675648e-10
0.99,100,25,0.99818165474166,1.43035450240067e-05
0.99,100,26,0.997360472372423,1.22081264957965e-07
0.99,100,27,0.998181396844512,1.4280135351638e-05
0.99,100,28,0.997730679550034,9.41428701346707e-07
0.99,100,29,0.997717776555959,8.74369037246397e-07
0.99,100,30,0.997901541996987,2.55503734094747e-06
