"lambda","q","n","W","p_val","skewness","kurt","bias"
0,0,0,0,0,0,0,0
0,0.5,1,0.0139120468081616,1.60495974918484e-95,53.9918119721761,3115.48205894234,2.88263333878398
0,0.5,2,0.0569068427963439,1.80595014231062e-94,34.2525799487807,1896.85415474782,0.776669176556893
0,0.5,3,0.056438497740761,1.75804901556353e-94,17.0587283225583,1872.3911998,0.286684962200616
0,0.5,4,0.0154076049918723,1.74322210712944e-95,-61.2269163125009,4033.10551968081,-2.59148190489191
0,0.5,5,0.124347305489219,9.84346978597934e-93,-10.4837587198667,722.395356180249,-0.0549077162452736
0,0.5,6,0.0151038113510943,1.7141893888549e-95,-62.4388926534171,4160.51328771511,-2.49225302602279
0,0.5,7,0.0289552116394998,3.703734670033e-95,24.4534289571732,1753.13405974205,0.469293522622365
0,0.5,8,0.0351563151791846,5.24542544759746e-95,46.4355297788734,2528.46080275074,1.59671645017072
0,0.5,9,0.0524029868950231,1.39522409654998e-94,-29.1455880645361,1816.75260415941,-0.57338228836897
0,0.5,10,0.0737313321774901,4.78075523115483e-94,41.1367117083875,2289.18988267515,0.882009064413006
0,0.5,11,0.0141179832674853,1.62331623452869e-95,-37.7918711790105,3079.04959898477,-0.877915203457582
0,0.5,12,0.0609732379103004,2.28183939784692e-94,17.9687524658163,770.640171070325,0.708532723212486
0,0.5,13,0.0958036279545152,1.75568051751732e-93,-12.6892391547118,655.746221313648,-0.431521266362206
0,0.5,14,0.00671056578044438,1.07972940116899e-95,-68.7479898912505,4826.60036511704,-4.81278662653951
0,0.5,15,0.0111609455199876,1.37902016519918e-95,-65.6798224535525,4494.00901078472,-3.46203609321799
0,0.5,16,0.0412039633965764,7.37905713527419e-95,46.9465357782304,2748.30819727991,0.720818084849101
0,0.5,17,0.0195512810060942,2.19299181913754e-95,-65.6165175813197,4507.69411965471,-1.03308039408436
0,0.5,18,0.0763821308968526,5.58110305696475e-94,10.8674426399062,1309.87028622855,0.389516661158137
0,0.5,19,0.00488763414724935,9.77037736936204e-96,69.897215245906,4923.59020416113,11.1705806422827
0,0.5,20,0.00968081897749362,1.27111644854271e-95,-49.7834754382906,3616.78217737926,-2.01003368737091
0,0.5,21,0.013087788343404,1.53357465669497e-95,47.7243794603487,2359.03446850066,4.26609088773369
0,0.5,22,0.0425105340059631,7.94566928629959e-95,33.8128286670546,1682.27377781721,1.09666870171227
0,0.5,23,0.0479233948091626,1.08055354066387e-94,-19.6183678190346,1178.10879998123,-0.699769425023829
0,0.5,24,0.0405034790524129,7.09236615412002e-95,-41.117233019914,2295.58936687986,-0.806622606239789
0,0.5,25,0.07713240510689,5.83146087988418e-94,-11.4680501314571,852.344439050095,-0.603089661090894
0,0.5,26,0.00743547807977663,1.12355483723961e-95,-69.3921342717334,4873.01465130805,-5.51485347572789
0,0.5,27,0.0874666102011988,1.07067185755018e-93,-28.8413090046298,1136.14036198708,-0.680779532990023
0,0.5,28,0.0318775994826532,4.36277177525843e-95,52.1025169896067,3416.89344246522,0.823813989405396
0,0.5,29,0.00511864008135599,9.89481526036368e-96,70.4403411086091,4974.77327732231,5.82040182489597
0,0.5,30,0.134313109840039,1.81789957874517e-92,13.8336449789778,506.422499348948,0.534718149941132
0,2,1,0.940459185130424,6.93336284637499e-41,-0.359741987122462,11.174178326198,-0.00093537663518908
0,2,2,0.971520950214168,2.01580340794351e-30,0.130443607005392,7.20924772583089,0.0148026719191864
0,2,3,0.977833705086319,3.10643383078305e-27,0.0559620876071879,6.03450628891942,-0.00543749132522717
0,2,4,0.986180201153747,9.9123254894548e-22,0.268444774815596,5.23543596553619,-0.0032810849712437
0,2,5,0.982743304739113,3.09934909180097e-24,-0.0501739567427768,5.6976016747605,0.00707705110381003
0,2,6,0.99220737664342,6.08781058693158e-16,0.025804801994263,4.29360928619396,-0.00123642426168042
0,2,7,0.992355091204631,9.14300699356441e-16,-0.145333714193559,4.22193313020381,-0.00463714992589951
0,2,8,0.993235086083559,1.15951079308719e-14,-0.0840632350143357,4.11769718461631,-0.00541770901924587
0,2,9,0.995018240391662,4.28257079185091e-12,-0.0416429094676169,3.9353491192343,0.00774486155921802
0,2,10,0.996781955146591,6.65227498430426e-09,-0.102106913156493,3.61912052341872,-0.00193462475094841
0,2,11,0.994157123797266,2.1287940208637e-13,0.0444536745222302,4.05548379733949,-0.000726738549029888
0,2,12,0.995879607724606,1.22057845347522e-10,-0.008891668057735,3.82711900414919,0.00329200743585732
0,2,13,0.998079683388782,7.54238642974163e-06,0.0404230403897576,3.40057859658677,0.00567888439290574
0,2,14,0.995450561390602,2.19073955009806e-11,0.0825991194993461,3.85347049882488,-0.00111933580509838
0,2,15,0.997889185704895,2.37403704780118e-06,0.0158802827661965,3.44686204036838,0.00432401556871643
0,2,16,0.997369011839983,1.27751255243155e-07,-0.0264841327895876,3.57408482589792,-0.00282123777061187
0,2,17,0.997992700643347,4.42156268863553e-06,-0.0999786566153177,3.44021721244354,-0.00127103206291209
0,2,18,0.997633264420716,5.41590859728485e-07,-0.00652376095696314,3.48738404920111,0.000962671348280851
0,2,19,0.998652499036263,0.000339435843928141,-0.02226449612815,3.36773524202165,-0.00142693977837429
0,2,20,0.999027407800814,0.00550341668732466,-0.0723429089208334,3.27612176095252,-0.00120417693657417
0,2,21,0.991965818410357,3.16575627333485e-16,0.110608839554797,4.84242856171162,-0.00194327701228457
0,2,22,0.998021447738988,5.2688406787453e-06,-0.108302248521251,3.43425325906992,-0.00595065236773864
0,2,23,0.997979624533194,4.0842059984639e-06,0.0303858613638565,3.46485760305675,0.000765498492430493
0,2,24,0.996228553245745,5.35428131581737e-10,0.092366111232846,3.74974680850237,0.00114005728368507
0,2,25,0.995232792419478,9.51673100716355e-12,0.117613967259309,3.92214701569996,-0.00664112566100553
0,2,26,0.998135223921718,1.06676085718349e-05,-0.0148091003425632,3.43161798477192,0.00181430116788539
0,2,27,0.998974113360307,0.00365415640623156,-0.00069956559145801,3.30509442528848,0.00363623319197673
0,2,28,0.999188274381538,0.0193162413571897,-0.0364921663959311,3.21991924075581,-0.00216052045527445
0,2,29,0.997868140364459,2.09575607291063e-06,-0.0327817869653265,3.48096324402274,-0.00029023479486696
0,2,30,0.997487249359993,2.41465705883219e-07,0.00091319351907987,3.58751989185049,0.000758639725166147
0,10,1,0.998629582886562,0.000288480242182247,-0.0260470608402823,3.28875106784042,-0.00647010077675254
0,10,2,0.999092062526358,0.00908862254436708,0.0148993533282976,3.25019164051361,0.0194775602211575
0,10,3,0.999601807459473,0.421016982454575,0.0185404268875567,3.11067932689528,-0.0146082502703794
0,10,4,0.999722354159452,0.772421643509065,0.0120314355108316,2.96249071244824,0.00365333874575727
